id,restaurant known for,delivery_rating,delivery_review_number,location,timings,average_price,Dishes,cuisines
268,"Casual Seating Area, Low Price, Great Recommendations, Prices, Quantity, Value for Money",4.0,2,"Shivajinagar, Bangalore",9am – 1am,₹500,"Mutton Haleem, Mutton Sheek Kabab, Chicken Kabab, Kababs, Mutton Biryani, Briyani","['North Indian', 'Mughlai', 'Chinese', 'South Indian', 'Afghan']"
269,,3.3,57,"Rajajinagar, Bangalore",,₹200,,"['Fast Food', 'Pizza', 'Burger']"
270,,3.6,144,"Rajajinagar, Bangalore",24 Hours,₹200,,"['Biryani', 'Chinese']"
271,,3.9,354,"RT Nagar, Bangalore",,₹200,,"['Chinese', 'Asian', 'Seafood']"
272,,4.4,358,"Vasanth Nagar, Bangalore",Opens at 8:15am,₹750,,"['Cafe', 'Coffee', 'Tea', 'Shake', 'Beverages', 'Sandwich', 'Fast Food', 'Desserts']"
273,,3.5,658,"Richmond Road, Bangalore","12midnight – 3am, 9:30am – 12midnight",₹500,,"['Chinese', 'North Indian', 'Mughlai', 'Lebanese']"
274,"Fresh Food with Good Quality, Worth the Money, Great Portions, Taste",3.7,447,"Koramangala 2nd Block, Bangalore",,₹200,,"['Fast Food', 'Pizza', 'Italian', 'Burger']"
275,,3.6,194,"Brigade Road, Bangalore",,₹150,,['North Indian']
276,"Good Service, Good Food, Value for Money, Quantity, Good Quality",3.9,3,"Shivajinagar, Bangalore",,₹150,,"['Rolls', 'North Indian', 'Chinese', 'Beverages', 'Sichuan']"
277,,3.6,345,"Indiranagar, Bangalore",,₹150,,['Fast Food']
278,,4.2,159,"Seshadripuram, Bangalore",,₹200,,"['South Indian', 'Chettinad', 'Tamil']"
279,,4.2,128,"Basavanagudi, Bangalore","12midnight – 8am, 12noon – 12midnight",₹300,,"['Rolls', 'Fast Food']"
280,,4.2,270,"Jayanagar, Bangalore","12midnight – 2am, 12noon – 12midnight",₹200,,['Ice Cream']
281,"Tasty, Value for Money, Portion, Good Food, Staff, Service",4.2,5,"BTM, Bangalore",,₹150,"Litti Chokha, Parathas, Gulab Jamun, Lassi",['North Indian']
282,,3.6,20,"1 Sobha, Bangalore","12midnight – 1am, 8am – 12midnight",₹600,,"['North Indian', 'Rolls']"
283,"Healthy and Delicious, Tamper Proof Packaging, Great Portions, Extensive Menu, Worth the Money",4.3,3,"Hosur Road, Bangalore",,₹150,,"['Healthy Food', 'Desserts', 'Beverages', 'Juices']"
284,,3.2,176,"Koramangala 8th Block, Bangalore",,₹200,,"['North Indian', 'Mughlai']"
285,,3.7,3,"Indiranagar, Bangalore","12midnight – 4am, 6am – 12midnight",₹300,,"['North Indian', 'Mughlai', 'Chinese']"
286,,4.0,6,"Shanti Nagar, Bangalore",,₹400,,"['Biryani', 'Kebab']"
287,,4.5,95,"Koramangala 5th Block, Bangalore",10am – 1am,₹150,,"['Ice Cream', 'Desserts']"
288,,3.9,42,"Vasanth Nagar, Bangalore",,₹250,,"['Shake', 'Ice Cream', 'Desserts', 'Fast Food', 'Beverages']"
289,"Excellent Location, Comforting Atmosphere, Best Food under Best Budget, Elaborate Menu, Good Quality, Ambience",4.3,1,"Koramangala 5th Block, Bangalore","12midnight – 2am, 7:30am – 12midnight",₹300,"Chicken Puff, Chai, Tea, French Fries","['Tea', 'Beverages', 'Street Food']"
290,,3.7,99,"Jayanagar, Bangalore",Opens at 12noon,₹450,,"['Biryani', 'North Indian', 'Desserts']"
291,,4.2,205,"Koramangala 2nd Block, Bangalore",,₹150,,['North Indian']
292,,4.3,124,"Seshadripuram, Bangalore",,₹150,,"['South Indian', 'Andhra']"
293,"Good Wifi, Weekend Brunch, Fast Delivery, Student Crowd, Family Crowd, Young Crowd",4.0,8,"BTM, Bangalore",11am – 3am,₹400,,"['Biryani', 'North Indian', 'Chinese', 'Rolls', 'Fast Food', 'Sichuan']"
294,"Best Place, Good Place, Staff, Packaging, Service, Food Quality",4.5,725,"Koramangala 5th Block, Bangalore",Opens at 12noon,₹400,,"['Ice Cream', 'Desserts']"
295,"Filling Food, Great Veg Options, Mouth Watering Food, Fresh Food with Good Quality, Spill Proof Packaging, Contactless Delivery",3.8,1,"Kalyan Nagar, Bangalore",24 Hours,₹300,,"['Bakery', 'Desserts']"
296,,3.4,504,"BTM, Bangalore",24 Hours,₹250,,"['North Indian', 'Chinese', 'Street Food', 'South Indian']"
297,,4.0,441,"Koramangala 7th Block, Bangalore",,₹200,,"['Burger', 'Fast Food', 'Beverages', 'Bubble Tea', 'Shake']"
298,,3.8,26,"Mysore Road, Bangalore",,₹150,,"['Pizza', 'Burger', 'Sandwich', 'Wraps', 'Rolls', 'Fast Food', 'Shake', 'Beverages']"
299,,3.1,39,"RT Nagar, Bangalore",,₹100,,"['South Indian', 'Biryani', 'Kebab', 'Chinese']"
300,"Quick Serving, Best Staff, Great Menu, Clean and Hygienic Place, Portion, Fresh Food",4.1,3,"Basaveshwara Nagar, Bangalore",Opens at 12noon,₹300,,"['Shawarma', 'Fast Food', 'Beverages', 'Lebanese']"
301,,3.7,438,"Banashankari, Bangalore",Opens at 10:45am,₹200,,"['Mithai', 'North Indian', 'Fast Food', 'Street Food', 'Sandwich']"
302,"Value for Money, Packaging, Quantity, Ambience, Food, Taste",4.1,373,"Brigade Road, Bangalore","12midnight – 3am, 10:30am – 12midnight",₹400,,"['Burger', 'Fast Food']"
303,"Bank for the Buck, Totally Worth it, Cozy Ambience, Authenticity, Favorite Place, Cozy Place",4.4,3,"Indiranagar, Bangalore",Opens at 8:30am,₹400,"Baileys Ice Cream, Extra Dark Chocolate, Vanilla Gelato, Gelato Ice Creams, Strawberry Sundae, Mango Sorbet","['Ice Cream', 'Desserts', 'Beverages']"
304,,3.7,172,"Koramangala 5th Block, Bangalore",12noon – 12:30am,₹800,,"['Kerala', 'Seafood', 'South Indian', 'North Indian', 'Chinese']"
305,"Value for Money, Packaging, Fresh Food, Good Quality",4.1,1,"Koramangala 6th Block, Bangalore","12midnight – 1am, 9am – 12midnight",₹400,,"['North Indian', 'Kebab', 'Mughlai', 'Afghan', 'BBQ']"
306,"Tandoori, Affordable Price, Best Places, Quick Service, Reasonable Price, Decor",4.1,5,"Koramangala 5th Block, Bangalore","12midnight – 2am, 11:30am – 12midnight",₹700,"Mutton Pasinda, Firni, Kathi Rolls, Tawa Chicken, Chaap, Mutton Rogan Josh","['North Indian', 'Mughlai', 'Biryani', 'Kebab', 'Rolls']"
307,,2.8,137,"Wilson Garden, Bangalore",,₹250,,"['South Indian', 'Desserts']"
308,"Best Staff, Fantastic Decoration, Served Quickly, Great Veg Options, Clean and Hygienic Place, Delicious Taste",4.3,382,"Residency Road, Bangalore",11:30am – 12:30am,₹1,,"['Sandwich', 'Pizza', 'North Indian', 'Continental', 'Finger Food', 'Seafood', 'Beverages']"
309,,3.4,686,"BTM, Bangalore",,₹250,,"['Biryani', 'Chinese', 'North Indian']"
310,"Food Tastes Great, Very Affordable, Healthy and Delicious, Fresh Food with Good Quality, Extensive Menu, Spill Proof Packaging",4.0,664,"Koramangala 2nd Block, Bangalore",,₹250,,['Bakery']
311,,4.5,341,"Rajajinagar, Bangalore",,₹250,,"['Healthy Food', 'Salad', 'Mexican', 'Pasta', 'Pizza', 'Beverages', 'Asian', 'North Indian']"
312,,3.2,141,"Rajajinagar, Bangalore",,₹200,,"['Biryani', 'Chinese', 'Street Food']"
313,,3.6,153,"Rajajinagar, Bangalore",24 Hours,₹500,,"['Chinese', 'Fast Food', 'Momos', 'Sandwich', 'Ice Cream', 'Desserts', 'Beverages', 'Sichuan']"
314,"Large Servings, Best Staff, Excellent Location, Served Quickly, Comforting Atmosphere, Clean and Hygienic Place",4.1,2,"Koramangala 5th Block, Bangalore",Opens at 11am,₹1,,"['Pizza', 'Italian', 'Fast Food', 'Desserts', 'Shake', 'Beverages']"
315,,3.8,1,"Hosur Road, Bangalore",,₹250,,"['Bakery', 'Desserts', 'Mithai']"
316,"Family Place, Reasonable Price, Breakfast, Awesome Food, Nice Food, Best Place",3.7,13.2,"BTM, Bangalore",9am – 1am,₹400,"Bangali Khabar, Katla Kalia, Alur Dom, Authentic Bengali Food, Mutton, Chutney","['Bengali', 'North Indian', 'North Eastern', 'Street Food']"
317,"Student Crowd, Elaborate Menu, Customizable Food, Fresh Food, Delicious Food, Good Quality",4.1,612,"Indiranagar, Bangalore",Opens at 10am,₹500,,"['Pizza', 'Burger', 'North Indian', 'Fast Food', 'Momos', 'Wraps', 'Ice Cream', 'Beverages']"
318,,4.1,1,"RT Nagar, Bangalore",,₹1,,"['Chinese', 'North Indian', 'Biryani', 'Rolls', 'Seafood', 'Mughlai', 'Shake', 'Beverages']"
319,"Food Presentation, Extensive Menu, Timely Service, Worth the Money, Delicious Food, Great Portions",3.5,1,"Koramangala 5th Block, Bangalore",Opens at 10am,₹950,,"['Arabian', 'North Indian']"
320,,3.9,436,"RT Nagar, Bangalore",,₹200,,"['Chinese', 'Seafood', 'Asian']"
321,,3.1,440,"Hebbal, Bangalore",,₹150,,"['Biryani', 'Kebab', 'Hyderabadi']"
322,,3.4,56,"Koramangala 5th Block, Bangalore",,₹250,,"['Pizza', 'Pasta', 'Italian', 'Fast Food', 'Beverages']"
323,"Awesome Spot to Hangout, Food Tastes Great, Sanitised Service, Very Affordable, Served Quickly, Menu",4.1,761,"Frazer Town, Bangalore","12midnight – 3am, 2:15pm – 12midnight",₹500,,"['Fast Food', 'Arabian', 'Lebanese', 'Beverages', 'Desserts']"
324,,3.5,126,"Hosur Road, Bangalore","12midnight – 2am, 8am – 11:45pm",₹350,,"['Bakery', 'Desserts']"
325,"Delicious Taste, Best Food under Best Budget, Spill Proof Packaging, Great Taste, Wonderful Presentation, Worth the Money",4.2,6,"BTM, Bangalore",8am – 7:45am,₹350,"Kullad Chai, Sandwiches, Burger, Drink, Sauce","['Burger', 'Sandwich', 'Wraps', 'Street Food', 'Fast Food', 'Shake', 'Beverages']"
326,,4.2,222,"Koramangala 5th Block, Bangalore","12midnight – 2am, 10am – 12midnight",₹300,,"['Ice Cream', 'Shake']"
327,"Ambience, Portion Size, Service, Value for Money, Packaging, Food",3.8,166,"Indiranagar, Bangalore","12midnight – 3am, 4pm – 12midnight",₹150,,"['Street Food', 'Sandwich', 'Fast Food']"
328,,3.9,256,"Indiranagar, Bangalore",,₹100,,"['North Indian', 'Chinese']"
329,"Cute Packaging, Food Presentation, Extensive Menu, Timely Service, Worth the Money, Great Portions",4.0,250,"Koramangala 2nd Block, Bangalore",,₹350,,['Bakery']
330,,4.1,156,"Basavanagudi, Bangalore","12midnight – 2am, 11:30am – 12midnight",₹300,,"['Fast Food', 'Shake']"
331,,3.8,335,"BTM, Bangalore","12midnight – 3am, 12noon – 12midnight",₹400,,"['Shawarma', 'Arabian']"
332,,3.3,142,"Frazer Town, Bangalore",Opens at 8am,₹150,,"['Desserts', 'Pasta', 'Sandwich']"
333,,3.0,40,"Wilson Garden, Bangalore",,₹350,,"['Biryani', 'Desserts']"
